Provinsi,Kabupaten/Kota,NIK,Nama,Tempat Tanggal Lahir,Jenis Kelamin,Alamat,RT/RW,Kelurahan/Desa,Kecamatan,Agama,Status Perkawinan,Pekerjaan,Kewarganegaraan,Berlaku Hingga,Gol. Darah,Tanggal KTP Dikeluarkan,Usia
PROVINSI BALI,KOTA BANDUNG,5142051211735218,BAKIMAN JANUAR,"BAU-BAU, 01-05-1961",LAKI-LAKI,JALAN ASIA AFRIKA NO. 404,005/004,PRABUMULIH,BATU,BUDHA,CERAI MATI,DOKTER,WNI,SEUMUR HIDUP,A,15-01-2026,65
PROVINSI JAWA TIMUR,KOTA PONTIANAK,4868721011865574,JAIS KUSUMO,"PANGKALPINANG, 24-10-1946",LAKI-LAKI,GANG DIPATIUKUR NO. 69,014/005,SUKABUMI,TASIKMALAYA,BUDHA,KAWIN,BURUH,WNI,SEUMUR HIDUP,,09-09-2023,80
PROVINSI SULAWESI SELATAN,KABUPATEN MADIUN,8274122506619206,KARJA BUDIYANTO,"BUKITTINGGI, 19-03-1985",PEREMPUAN,GANG KUTAI NO. 27,002/009,PADANG SIDEMPUAN,LUBUKLINGGAU,KATOLIK,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,,18-03-2025,41
PROVINSI JAWA TIMUR,KOTA SORONG,1511702207996398,JESSICA ANGGRAINI,"SUNGAI PENUH, 22-01-1980",PEREMPUAN,JALAN KIARACONDONG NO. 620,006/018,CIREBON,JAKARTA BARAT,KONGHUCU,CERAI MATI,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,B,03-06-2022,46
PROVINSI BANTEN,KOTA METRO,,AISYAH HUTAGALUNG,"CIMAHI, 01-09-1976",PEREMPUAN,JALAN PACUAN KUDA NO. 8,007/006,LANGSA,BANJAR,KATOLIK,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,,23-01-2025,50
PROVINSI JAWA TIMUR,KOTA YOGYAKARTA,,UCHITA NASYIDAH,"PASURUAN, 22-07-1961",PEREMPUAN,JL. KUTAI NO. 007,002/003,JAYAPURA,TEBINGTINGGI,KONGHUCU,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,AB,14-05-2023,65
PROVINSI SULAWESI SELATAN,KABUPATEN BANJARBARU,1204230409639397,HANA MAULANA,"LHOKSEUMAWE, 23-01-2006",PEREMPUAN,JL. KUTAI NO.,010/013,BATU,LUBUKLINGGAU,HINDU,KAWIN,DOKTER,WNI,SEUMUR HIDUP,AB,21-07-2021,20
PROVINSI SUMATERA UTARA,KOTA TEBINGTINGGI,5829822409937859,DT. GANGSA WASTUTI,"PAREPARE, 04-07-1974",PEREMPUAN,GG. RAJAWALI TIMUR NO. 6,019/015,SUNGAI PENUH,LHOKSEUMAWE,ISLAM,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,B,05-12-2025,52
PROVINSI BANTEN,KABUPATEN PADANG SIDEMPUAN,9017152409891070,RADEN ANGGRAINI,"LHOKSEUMAWE, 10-05-1966",LAKI-LAKI,GG. W.R. SUPRATMAN NO. 37,011/002,BEKASI,TIDORE KEPULAUAN,ISLAM,CERAI HIDUP,PENSIUNAN,WNI,SEUMUR HIDUP,AB,08-05-2025,60
PROVINSI DI YOGYAKARTA,KABUPATEN METRO,,HASIM KUSWOYO,"PALOPO, 11-01-1956",LAKI-LAKI,GANG ABDUL MUIS NO. 2,014/020,KEDIRI,PEKANBARU,HINDU,BELUM KAWIN,TIDAK BEKERJA,WNI,SEUMUR HIDUP,,17-03-2022,70
PROVINSI BANTEN,KABUPATEN PEKALONGAN,7328350201955514,T.EDWARD NASYIDAH,"PADANG, 10-10-1949",PEREMPUAN,GANG BANGKA RAYA NO. 41,008/017,TEGAL,PASURUAN,KATOLIK,CERAI MATI,GURU/DOSEN,WNI,SEUMUR HIDUP,AB,17-09-2024,77
PROVINSI JAWA TENGAH,KOTA KOTA ADMINISTRASI JAKARTA TIMUR,9674260606688093,"YANI SINAGA, S.T.","PALANGKARAYA, 05-11-1993",LAKI-LAKI,GANG RAWAMANGUN NO. 631,001/007,BAU-BAU,JAKARTA PUSAT,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,B,22-08-2023,33
PROVINSI DI YOGYAKARTA,KOTA BOGOR,6326931711614123,BAKIDIN MULYANI,"PALANGKARAYA, 09-12-1953",PEREMPUAN,GG. VETERAN NO. 559,002/019,JAKARTA PUSAT,MEULABOH,KATOLIK,CERAI MATI,TIDAK BEKERJA,WNI,SEUMUR HIDUP,A,24-03-2022,73
PROVINSI DKI JAKARTA,KOTA SERANG,,LAILA HUTAGALUNG,"SOLOK, 24-08-1968",LAKI-LAKI,GG. CIWASTRA NO. 573,015/016,MEULABOH,PADANGPANJANG,KRISTEN,BELUM KAWIN,GURU/DOSEN,WNI,SEUMUR HIDUP,A,07-01-2022,58
PROVINSI JAWA TIMUR,KOTA BUKITTINGGI,,"PRAKOSA SAMOSIR, S.KED","JAYAPURA, 08-11-2007",PEREMPUAN,JL. PETA NO. 505,009/009,TIDORE KEPULAUAN,TERNATE,ISLAM,KAWIN,NELAYAN,WNI,SEUMUR HIDUP,,24-03-2024,19
PROVINSI JAWA TIMUR,KABUPATEN BINJAI,,"RATIH PRASETYA, M.PD","PANGKALPINANG, 01-07-1992",LAKI-LAKI,JL. SADANG SERANG NO. 6,007/001,BATAM,TOMOHON,ISLAM,CERAI HIDUP,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,AB,02-07-2021,34
PROVINSI BALI,KOTA MAGELANG,4403710811835730,VANESA TARIHORAN,"SINGKAWANG, 13-12-2005",PEREMPUAN,GG. SENTOT ALIBASA NO. 954,013/006,PURWOKERTO,PURWOKERTO,BUDHA,KAWIN,DOKTER,WNI,SEUMUR HIDUP,AB,03-03-2025,21
PROVINSI JAWA BARAT,KOTA PADANGPANJANG,,DARMAN SITORUS,"BALIKPAPAN, 01-07-1953",PEREMPUAN,GG. PACUAN KUDA NO. 251,006/017,SEMARANG,BITUNG,KRISTEN,CERAI MATI,GURU/DOSEN,WNI,SEUMUR HIDUP,A,17-05-2024,73
PROVINSI BANTEN,KOTA SUKABUMI,,SARI PERMATA,"PRABUMULIH, 11-11-1992",PEREMPUAN,GG. SURAPATI NO. 346,002/009,SUBULUSSALAM,PEKALONGAN,KONGHUCU,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,,07-05-2023,34
PROVINSI KALIMANTAN TIMUR,KOTA SUBULUSSALAM,7202590304881289,"DR. DANU ANGGRAINI, S.GZ","PADANG SIDEMPUAN, 17-04-1973",LAKI-LAKI,GANG PASIRKOJA NO. 21,020/016,PAYAKUMBUH,TANGERANG,BUDHA,CERAI MATI,DOKTER,WNI,SEUMUR HIDUP,,30-08-2022,53
PROVINSI DKI JAKARTA,KABUPATEN MALANG,4987441211712254,"MUTIA HARIYAH, M.PD","MEULABOH, 02-04-1946",LAKI-LAKI,JL. BANGKA RAYA NO. 185,005/012,SUBULUSSALAM,AMBON,KRISTEN,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,A,03-10-2023,80
PROVINSI SULAWESI SELATAN,KABUPATEN MEDAN,7919701403895778,RA. IRIANA SURYATMI,"KENDARI, 05-10-1979",PEREMPUAN,GG. CIHAMPELAS NO. 9,005/020,PROBOLINGGO,AMBON,BUDHA,CERAI HIDUP,DOKTER,WNI,SEUMUR HIDUP,B,21-06-2021,47
PROVINSI BALI,KOTA AMBON,3258981402808760,DARU NASHIRUDDIN,"DENPASAR, 31-08-2001",LAKI-LAKI,GANG PACUAN KUDA NO. 0,010/005,PONTIANAK,BIMA,KATOLIK,CERAI HIDUP,GURU/DOSEN,WNI,SEUMUR HIDUP,AB,24-01-2024,25
PROVINSI DKI JAKARTA,KOTA PALOPO,1867302211605153,DRS. VICKY WIBISONO,"BINJAI, 24-01-1999",LAKI-LAKI,JL. CIHAMPELAS NO. 79,011/001,BALIKPAPAN,METRO,HINDU,CERAI HIDUP,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,AB,29-09-2021,27
